7.1,-0.04017649,-0.8485075,0.07467615,2247.45,-1716.79,5587.08,-0.1851654,997.8486,28.62708
7.35,0.1676921,-0.8592642,0.0641663,-1675.55,-1343.79,-3362.92,-0.07809448,997.8372,28.64375
7.6,0.1439147,-0.9993448,0.1323581,-2050.55,1452.21,-1200.92,-0.09838867,997.8396,28.64167
7.85,-0.1352862,-0.954607,0.08176419,-1363.55,1327.21,-610.92,0.06674194,997.821,28.64583
8.1,-0.1455816,-1.113023,-0.05633035,273.45,809.21,364.08,0.2586365,997.7996,28.65417
8.35,-0.0244883,-0.9805207,0.05096788,1073.45,1632.21,1280.08,-0.8352814,997.9241,28.66458
8.6,0.06400295,-1.045794,0.0641663,829.45,-2205.79,-1831.92,-0.3196869,997.8655,28.66042
8.85,0.1240593,-0.9291823,0.129914,-1982.55,-265.79,2069.08,0.1986847,997.8064,28.65625
9.1,-0.008800099,-1.159961,0.09178521,-1569.55,429.21,-2111.92,0.5934143,997.7612,28.64792
9.35,0.2723618,-1.004968,0.2320795,980.45,-5.79,-2029.92,0.6551514,997.7539,28.6375
9.6,0.0863096,-0.852908,0.1927287,160.45,-1812.79,-1109.92,0.2096558,997.8042,28.6375
9.85,0.2113249,-0.8064589,0.279496,346.45,568.21,3487.08,0.5343781,997.7678,28.64583
10.1,-0.182841,-0.9722088,-0.001581366,1514.45,-2035.79,177.08,0.3166656,997.7925,28.64167
10.35,-0.3100625,-0.9770982,-0.06830669,768.45,-2023.79,-1208.92,-0.5909119,997.8958,28.64792
10.6,-0.005858561,-0.9428725,-0.003536687,-1440.55,732.21,3668.08,-0.910965,997.9321,28.65
10.85,0.603775,-1.015969,0.2161925,704.45,727.21,1627.08,-1.647949,998.0161,28.66042
11.1,0.4569432,-1.197365,0.07589823,-1299.55,1018.21,-1400.92,-1.552933,998.0056,28.66875
11.35,0.2929526,-1.028681,0.3982818,-2672.55,939.21,-3181.92,-1.892395,998.0444,28.67708
11.6,0.2654982,-0.9291823,0.1609547,300.45,237.21,-572.92,-1.747574,998.0286,28.68542
11.85,0.3451648,-0.5742134,0.1890624,-1138.55,-320.79,-289.92,-1.389648,997.9883,28.6875
12.1,-0.03404829,-0.809637,0.1868627,697.45,470.21,-4305.92,-1.733749,998.0276,28.69792
12.35,0.5824488,-0.9927442,0.2301242,648.45,830.21,-349.92,-2.033569,998.0618,28.70208
12.6,0.1549454,-0.9695196,0.1619324,26.45,-456.79,-18.92,-1.440384,997.9946,28.70417
12.85,0.1262655,-0.9318714,0.1651098,-217.55,223.21,732.08,-1.592606,998.012,28.70417
13.1,0.2385341,-0.9951889,0.172931,-81.55,440.21,134.08,-1.707901,998.0249,28.7
13.35,0.34541,-0.9279599,0.1472674,154.45,1102.21,19.08,-3.861191,998.2695,28.7125
13.6,0.3890428,-0.9362718,0.1404238,-278.55,-333.79,-468.92,-4.203461,998.3083,28.71458
13.85,0.2529967,-0.927471,0.2003055,-223.55,41.21,43.08,-3.744034,998.2563,28.71458
14.1,0.3476161,-0.8604865,0.1961505,-193.55,-1032.79,-225.92,-3.218155,998.1968,28.71458
14.35,0.2534869,-1.00839,0.1695092,-125.55,-994.79,266.08,-3.061325,998.1787,28.7125
14.6,0.4010541,-0.9616966,0.1971281,882.45,-65.79,1065.08,-1.878586,998.0447,28.70833
14.85,0.4314499,-0.9159809,0.1301584,-29.55,44.21,76.08,-2.000366,998.0581,28.70208
15.1,0.5192058,-0.9746535,0.1550887,231.45,319.21,1075.08,-2.508682,998.1157,28.70417
15.35,0.4191935,-0.9025351,0.159977,-145.55,-189.79,-6.92,-2.714401,998.1389,28.70208
15.6,0.3868366,-0.9137807,0.2169258,-1153.55,2040.21,225.08,-2.872116,998.1565,28.69583
15.85,0.4299791,-0.9282044,0.1907733,-321.55,1936.21,67.08,-3.299255,998.2051,28.7
16.1,0.4694448,-0.9030241,0.1741531,-194.55,-490.79,698.08,-3.265076,998.2009,28.68958
16.35,0.4873391,-0.8353062,0.2027497,9.45,455.21,-48.92,-3.986374,998.2822,28.67917
16.6,0.4020346,-0.8697763,0.1951728,133.45,183.21,178.08,-3.46051,998.2217,28.66667
16.85,0.4586591,-0.7805452,0.1514225,-68.55,750.21,-137.92,-2.957825,998.1653,28.67708
17.1,0.2605956,-0.8260164,0.214726,-280.55,1440.21,-110.92,-2.525177,998.1157,28.66667
17.35,0.2277485,-1.017191,0.2198587,-165.55,308.21,-542.92,-2.094391,998.0664,28.65833
17.6,0.4434612,-0.97392,0.2071491,209.45,794.21,611.08,-2.90242,998.1584,28.66458
17.85,0.4787596,-0.8230827,0.1785526,-117.55,723.21,-787.92,-2.447693,998.1069,28.66667
18.1,0.5410222,-1.000812,0.08714132,-3170.55,1614.21,-277.92,-1.840729,998.0383,28.66875
18.35,0.1672019,-0.9132918,0.1252701,-1575.55,2321.21,-2285.92,-2.02153,998.0586,28.66667
18.6,0.3275156,-1.034304,0.3127365,444.45,636.21,-767.92,-2.752991,998.1416,28.66458
18.85,0.1958818,-1.00619,0.2758298,-1706.55,3305.21,-3111.92,-2.520477,998.1143,28.64583
